concentration,temperature_K,concentration_g_L,inverse_T,inlet_pressure_bar,run_order,reactor_id,operator_shift,batch_number,day_of_week,adsorption_capacity
0.71,329.8,41.15,0.003032,1.165,138,1,1,4,3,2.271
0.318,323.5,18.42,0.003091,1.199,106,2,3,3,5,1.662
1.046,299.9,60.66,0.003335,0.605,31,4,2,9,1,3.834
1.211,325.8,70.21,0.00307,1.156,120,1,1,8,4,3.27
0.906,344.5,52.52,0.002903,1.396,198,3,2,1,6,1.941
2.355,302.0,136.57,0.003311,0.647,38,1,2,6,6,4.399
1.128,320.9,65.4,0.003116,1.067,116,3,2,9,3,3.115
0.93,338.9,53.96,0.002951,1.42,180,2,3,7,7,2.507
1.611,332.0,93.44,0.003012,1.272,152,4,2,4,4,3.046
0.566,329.9,32.85,0.003032,1.198,149,4,2,13,1,1.835
2.286,330.1,132.57,0.003029,1.206,141,4,2,17,4,3.512
0.394,313.0,22.84,0.003195,0.775,61,2,1,2,4,1.835
2.766,309.7,160.42,0.003229,0.749,52,3,1,5,7,4.178
2.208,335.5,128.05,0.002981,1.321,158,2,3,12,1,3.303
0.717,335.5,41.57,0.002981,1.274,153,4,3,21,5,2.052
0.214,338.4,12.43,0.002955,1.402,176,2,1,8,7,0.84
2.32,340.7,134.57,0.002935,1.437,179,2,3,6,4,3.523
2.038,320.6,118.19,0.003119,1.08,95,2,1,8,4,3.852
2.095,320.1,121.53,0.003124,1.049,92,3,2,18,5,3.708
2.205,334.9,127.91,0.002986,1.31,159,1,2,3,4,3.302
0.393,327.5,22.77,0.003053,1.187,132,1,3,22,4,1.652
1.132,330.1,65.66,0.003029,1.252,135,2,1,12,4,2.624
0.501,334.8,29.07,0.002987,1.27,165,1,1,3,6,1.861
2.444,339.5,141.76,0.002946,1.374,189,1,3,22,7,3.531
1.821,311.9,105.59,0.003206,0.833,68,2,1,6,2,3.816
1.06,313.8,61.5,0.003187,0.852,65,2,2,2,7,3.062
0.365,299.7,21.18,0.003337,0.645,17,4,3,23,5,2.687
1.009,323.9,58.5,0.003087,1.047,105,1,3,12,4,2.84
1.045,296.8,60.64,0.003369,0.599,7,3,1,2,7,3.963
2.097,318.3,121.62,0.003142,0.947,84,2,3,6,6,3.635
1.858,322.1,107.74,0.003104,1.066,98,4,1,17,5,3.531
2.507,309.3,145.39,0.003233,0.795,53,3,1,3,3,4.184
1.428,324.5,82.81,0.003081,1.042,115,1,1,2,7,3.251
0.511,296.5,29.63,0.003372,0.53,18,4,1,23,3,3.014
2.054,296.9,119.16,0.003369,0.554,11,2,1,20,4,4.391
2.178,336.1,126.33,0.002975,1.319,154,3,3,8,6,3.232
1.659,313.0,96.24,0.003195,0.793,64,2,2,22,6,3.74
2.205,301.4,127.86,0.003318,0.712,34,1,2,12,7,4.282
1.484,321.1,86.06,0.003114,1.027,100,3,3,4,5,3.46
1.559,333.5,90.43,0.002999,1.23,157,1,3,5,5,3.143
1.312,305.8,76.07,0.00327,0.797,40,1,2,13,6,3.614
0.266,326.1,15.43,0.003066,1.154,128,4,2,15,5,1.054
0.481,299.3,27.87,0.003341,0.525,29,2,2,23,6,3.035
0.282,297.6,16.34,0.00336,0.499,10,3,2,16,7,2.329
1.855,321.6,107.57,0.00311,1.02,96,1,2,10,2,3.528
1.017,322.0,59.0,0.003105,1.056,121,1,1,23,6,3.117
1.522,326.9,88.29,0.003059,1.169,118,3,3,16,3,3.257
2.56,331.3,148.46,0.003018,1.274,129,1,1,12,5,3.806
0.848,343.8,49.19,0.002909,1.5,199,4,2,17,6,1.985
1.267,320.8,73.49,0.003117,1.084,103,4,2,16,6,3.479
2.164,311.1,125.54,0.003214,0.829,56,4,2,12,7,4.245
0.795,334.8,46.1,0.002987,1.257,156,4,1,8,5,2.155
0.4,308.5,23.21,0.003241,0.771,47,1,1,20,2,2.396
0.953,316.9,55.29,0.003155,0.936,89,3,2,3,7,3.11
0.619,298.9,35.91,0.003345,0.45,30,3,1,16,2,3.362
2.617,296.3,151.8,0.003375,0.497,5,3,1,13,7,4.341
2.301,343.1,133.46,0.002914,1.478,195,3,2,23,5,4.218
1.847,336.8,107.12,0.002969,1.315,173,2,1,19,1,3.28
2.466,329.8,143.02,0.003032,1.164,146,3,3,8,5,3.457
2.29,315.4,132.79,0.00317,0.955,78,2,3,22,5,3.832
0.685,303.7,39.73,0.003293,0.627,36,2,3,5,2,2.888
2.521,302.8,146.2,0.003302,0.692,20,4,3,20,2,4.287
1.602,307.5,92.93,0.003252,0.684,48,2,2,8,5,3.967
2.299,322.5,133.36,0.003101,1.187,114,1,2,24,5,3.979
2.53,330.7,146.73,0.003024,1.204,134,2,2,12,5,3.677
1.027,328.0,59.55,0.003049,1.144,123,4,3,1,2,2.929
0.486,309.0,28.2,0.003236,0.837,57,2,3,21,5,2.339
0.793,342.7,45.97,0.002918,1.434,192,1,1,20,5,1.724
1.31,331.9,76.01,0.003013,1.311,151,1,1,6,4,2.894
2.327,322.7,134.96,0.003099,1.073,94,1,3,22,1,3.849
2.438,325.6,141.4,0.003071,1.106,144,4,3,18,3,3.766
0.218,316.0,12.65,0.003165,0.908,75,4,3,8,1,1.084
1.528,307.4,88.62,0.003253,0.808,51,3,3,7,4,3.832
1.285,312.8,74.55,0.003197,0.867,67,4,1,1,3,3.354
0.777,332.9,45.09,0.003004,1.279,143,1,3,21,7,2.3
0.512,295.7,29.68,0.003382,0.541,3,1,1,16,5,3.146
1.078,300.8,62.51,0.003324,0.623,27,4,3,12,4,3.605
2.652,297.3,153.79,0.003364,0.572,9,2,3,6,7,4.384
1.04,297.0,60.34,0.003367,0.535,19,4,3,20,5,3.676
1.549,337.8,89.83,0.002961,1.353,168,4,1,2,2,2.905
2.028,330.2,117.62,0.003029,1.148,126,1,1,14,6,3.572
1.145,318.7,66.44,0.003138,0.989,82,3,2,4,4,3.068
2.727,299.9,158.14,0.003335,0.512,28,1,3,1,2,4.477
2.702,319.6,156.74,0.003129,1.006,85,3,2,23,4,3.944
0.855,318.7,49.57,0.003138,0.959,91,1,2,18,4,2.743
1.493,303.7,86.59,0.003293,0.692,41,4,1,13,2,3.913
0.982,316.7,56.97,0.003158,0.881,79,1,1,2,3,2.953
0.941,314.9,54.55,0.003175,0.793,87,1,2,9,1,3.605
0.296,325.8,17.16,0.003069,1.098,97,1,3,21,5,1.206
1.785,326.8,103.52,0.00306,1.083,125,4,1,2,4,3.659
1.507,297.3,87.4,0.003364,0.456,12,4,3,9,5,3.44
0.334,313.7,19.36,0.003187,0.913,73,4,3,1,6,1.781
0.924,326.3,53.62,0.003065,1.206,109,4,2,11,2,2.688
2.561,320.2,148.57,0.003123,0.963,90,3,2,3,5,3.937
0.823,337.8,47.73,0.00296,1.353,181,3,2,20,2,2.1
0.577,327.9,33.45,0.003049,1.143,142,2,2,23,5,2.095
1.473,303.1,85.41,0.003299,0.63,42,4,1,4,1,4.02
2.763,298.5,160.24,0.00335,0.604,24,3,1,18,1,4.382
0.829,327.1,48.1,0.003057,1.193,133,1,2,23,1,2.429
1.948,296.3,112.96,0.003375,0.483,8,4,1,6,1,4.262
2.18,324.3,126.45,0.003084,1.088,112,2,2,3,1,3.423
0.818,342.0,47.44,0.002924,1.5,177,2,3,22,1,1.806
2.093,323.8,121.42,0.003089,1.11,107,2,3,11,2,3.838
1.156,314.4,67.06,0.003181,0.93,88,1,3,15,4,3.541
1.844,327.2,106.95,0.003057,1.212,119,3,2,22,5,3.416
1.847,317.9,107.14,0.003146,1.026,93,1,3,5,1,3.788
1.593,322.3,92.39,0.003103,1.097,99,4,1,20,2,2.882
0.435,342.1,25.22,0.002923,1.449,178,2,3,10,2,1.666
2.372,314.3,137.56,0.003182,0.867,63,1,3,12,2,4.164
1.034,343.1,59.97,0.002915,1.466,197,1,3,15,4,2.225
0.685,340.3,39.73,0.002939,1.379,184,3,1,17,5,1.717
0.306,304.8,17.75,0.003281,0.598,43,3,2,10,4,1.904
1.736,298.5,100.71,0.00335,0.555,15,2,1,6,3,4.198
1.962,300.0,113.78,0.003333,0.619,25,1,2,18,7,4.13
0.243,295.9,14.1,0.003379,0.489,14,1,2,13,2,2.007
1.531,299.7,88.82,0.003336,0.585,33,3,3,3,3,3.974
0.789,329.2,45.76,0.003038,1.175,150,1,2,24,6,2.235
1.877,298.6,108.89,0.003349,0.639,21,1,1,10,1,4.427
0.653,310.9,37.89,0.003216,0.801,59,1,1,14,7,2.902
1.996,337.2,115.79,0.002965,1.413,170,3,2,6,1,3.228
1.206,296.2,69.92,0.003377,0.388,13,2,3,3,4,4.134
2.635,335.7,152.86,0.002979,1.382,166,4,3,16,7,3.583
0.558,309.1,32.34,0.003235,0.847,62,2,1,7,5,2.568
1.087,300.9,63.03,0.003323,0.663,45,4,3,20,3,3.905
0.495,329.8,28.71,0.003032,1.096,136,1,2,14,5,1.23
2.604,326.4,151.04,0.003063,1.18,145,2,2,9,4,3.684
2.481,338.9,143.9,0.002951,1.375,183,4,1,15,1,3.401
0.871,331.8,50.5,0.003014,1.109,148,3,2,21,7,2.293
1.916,335.2,111.13,0.002984,1.368,174,3,1,3,5,3.079
2.325,309.1,134.84,0.003235,0.854,66,2,2,2,5,4.864
1.644,303.9,95.32,0.003291,0.582,35,2,1,2,1,4.229
1.577,332.5,91.47,0.003007,1.259,163,1,3,3,7,2.934
0.829,335.3,48.07,0.002982,1.376,169,2,2,18,3,2.284
0.442,344.5,25.64,0.002903,1.5,200,1,2,14,1,0.519
2.533,315.6,146.9,0.003168,0.954,80,1,1,20,5,3.991
2.541,313.6,147.38,0.003189,0.74,70,3,1,18,3,4.027
1.846,333.8,107.07,0.002996,1.313,137,3,2,10,3,3.141
1.081,312.0,62.73,0.003205,0.83,71,4,1,2,1,3.356
1.108,341.5,64.26,0.002928,1.481,188,3,2,22,5,2.275
2.087,337.9,121.07,0.002959,1.371,167,3,3,1,4,3.292
2.532,316.4,146.88,0.00316,0.928,83,2,1,4,5,4.024
2.506,332.5,145.37,0.003007,1.283,139,3,2,14,2,3.581
2.228,332.7,129.21,0.003005,1.246,160,4,3,1,7,3.375
